state,date,enrol_post_secondary_both,enrol_post_secondary_female,enrol_post_secondary_male,enrol_primary_both,enrol_primary_female,enrol_primary_male,enrol_secondary_both,enrol_secondary_female,enrol_secondary_male,completion_primary_both,completion_primary_female,completion_primary_male,completion_secondary_lower_both,completion_secondary_lower_female,completion_secondary_lower_male,completion_secondary_upper_both,completion_secondary_upper_female,completion_secondary_upper_male,state_mean_income,state_median_income,poverty_absolute,poverty_hardcore,poverty_relative
Perlis,2017-01-01,15839.92857142857,9514.17857142857,6325.75,68492.0,46130.0,22362.0,42402.0,21400.0,21002.0,99.22,100.44,98.05,96.4581,96.6188,96.2909,94.5276,95.4263,93.618,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2018-01-01,3810.0,2016.0,1794.0,46496.0,22532.0,23964.0,36996.0,18716.0,18280.0,99.61,100.11,99.13,96.5534,98.2229,94.895,94.6984,96.6413,92.6738,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2019-01-01,3508.0,1890.0,1618.0,47300.0,22904.0,24396.0,35974.0,18180.0,17794.0,99.0,101.2,97.0,93.1,95.9,90.3,94.6,96.9,92.2,5476.0,4594.0,3.9,0.3,12.0
Perlis,2020-01-01,2162.0,1056.0,1106.0,47458.0,22924.0,24534.0,36030.0,18014.0,18016.0,98.8,100.0,97.7,94.4,95.8,93.1,93.3,95.0,91.5,7254.456364497771,5757.365593954657,9.9,1.4,14.3
Perlis,2021-01-01,1894.0,994.0,900.0,48350.0,23384.0,24966.0,37188.0,18294.0,18894.0,96.9,99.8,94.4,97.8,98.6,97.1,97.4,98.3,96.5,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Perlis,2022-01-01,2104.0,1008.0,1096.0,48506.0,23404.0,25102.0,38230.0,18678.0,19552.0,105.5,107.2,103.9,99.7,100.3,99.1,97.9,98.2,97.6,5664.0,4713.0,4.0,0.1,12.6
Pulau Pinang,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,96.55,97.2,95.93,94.7517,96.7884,92.7462,100.1947,100.3956,99.9818,7254.456364497771,5757.365593954657,0.1,0.0,6.6
Pulau Pinang,2017-01-01,15839.92857142857,9514.17857142857,6325.75,260910.0,126894.0,134016.0,222210.0,112238.0,109972.0,96.71,98.16,95.35,97.3899,97.4851,97.2984,95.4438,96.4923,94.3466,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Pulau Pinang,2018-01-01,13728.0,7606.0,6122.0,260380.0,126486.0,133894.0,201196.0,100942.0,100254.0,96.52,97.2,95.9,95.4679,96.6006,94.3396,94.9794,96.6369,93.2466,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Pulau Pinang,2019-01-01,13184.0,7476.0,5708.0,263150.0,128338.0,134812.0,196760.0,97798.0,98962.0,96.0,97.1,95.0,97.8,98.9,96.6,96.9,98.1,95.6,7620.0,6138.0,1.9,0.1,13.2
Pulau Pinang,2020-01-01,7210.0,3880.0,3330.0,261426.0,127534.0,133892.0,195440.0,97084.0,98356.0,96.9,97.8,96.1,97.9,99.1,96.8,92.0,92.6,91.5,7254.456364497771,5757.365593954657,3.3,0.3,12.2
Pulau Pinang,2021-01-01,6758.0,3512.0,3246.0,260830.0,127520.0,133310.0,197216.0,97256.0,99960.0,94.0,96.8,91.6,97.1,97.9,96.3,95.5,95.9,95.1,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Pulau Pinang,2022-01-01,6908.0,3480.0,3428.0,259196.0,126498.0,132698.0,197156.0,96832.0,100324.0,97.7,98.9,96.6,98.9,99.7,99.7,100.5,101.0,100.0,8167.8,6503.0,2.0,0.1,15.3
Sabah,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,99.75,100.24,99.29,90.1018,92.4599,87.8606,97.5882,98.1709,96.9636,7254.456364497771,5757.365593954657,2.9,0.2,17.6
Sabah,2017-01-01,15839.92857142857,9514.17857142857,6325.75,547674.0,266082.0,281592.0,420536.0,214744.0,205792.0,99.04,99.59,98.51,95.0703,96.8362,93.3594,96.3273,97.5322,95.0459,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sabah,2018-01-01,35666.0,22794.0,12872.0,555166.0,269662.0,285504.0,381484.0,190468.0,191016.0,99.12,100.16,98.14,94.6595,96.9419,92.4622,95.4015,96.7491,93.9898,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sabah,2019-01-01,37842.0,24062.0,13780.0,568532.0,275930.0,292602.0,378818.0,189232.0,189586.0,100.3,101.2,99.4,94.4,96.4,92.4,95.3,96.6,93.9,5069.153846153846,3710.4615384615386,19.5,1.5,14.7
Sabah,2020-01-01,20012.0,12246.0,7766.0,579056.0,280074.0,298982.0,381200.0,190004.0,191196.0,100.3,101.0,99.8,95.7,97.5,93.9,94.2,95.4,92.9,7254.456364497771,5757.365593954657,25.3,2.7,13.2
Sabah,2021-01-01,20338.0,12838.0,7500.0,584376.0,282768.0,301608.0,397870.0,196192.0,201678.0,97.7,98.1,97.3,97.9,98.7,97.1,98.7,98.8,98.5,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sabah,2022-01-01,19086.0,11590.0,7496.0,585082.0,282846.0,302236.0,409560.0,200916.0,208644.0,100.6,100.8,100.3,99.6,99.7,99.5,99.6,99.5,99.7,5368.62962962963,4121.222222222223,19.7,1.2,14.5
Sarawak,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,99.4,100.02,98.82,94.3106,96.4445,92.2721,97.7736,98.4458,97.0583,7254.456364497771,5757.365593954657,0.6,0.1,16.8
Sarawak,2017-01-01,15839.92857142857,9514.17857142857,6325.75,490846.0,237138.0,253708.0,405488.0,206950.0,198538.0,99.54,99.98,99.13,95.7767,97.5599,94.0587,95.9102,97.2364,94.4892,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sarawak,2018-01-01,29926.0,19030.0,10896.0,489882.0,237144.0,252738.0,371704.0,185230.0,186474.0,99.23,99.57,98.91,95.3701,97.2874,93.5813,96.2509,97.283,95.1596,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sarawak,2019-01-01,29444.0,18706.0,10738.0,489626.0,236696.0,252930.0,367732.0,182842.0,184890.0,99.9,100.0,99.7,95.3,97.1,93.5,96.0,97.2,94.8,4625.075,3619.775,9.0,0.4,15.2
Sarawak,2020-01-01,15194.0,9394.0,5800.0,484516.0,233888.0,250628.0,368380.0,182712.0,185668.0,99.9,100.1,99.6,96.0,97.7,94.4,91.8,92.9,90.6,7254.456364497771,5757.365593954657,12.9,0.9,12.3
Sarawak,2021-01-01,15586.0,9820.0,5766.0,478746.0,231356.0,247390.0,376294.0,185186.0,191108.0,100.1,100.7,99.6,97.5,98.7,96.4,97.5,97.9,97.2,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Sarawak,2022-01-01,15004.0,9160.0,5844.0,470638.0,227312.0,243326.0,379316.0,185446.0,193870.0,100.7,101.1,100.3,99.0,99.6,98.5,98.9,98.9,98.8,4925.4,3982.625,10.8,0.4,16.2
Selangor,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,96.86,97.59,96.17,98.0499,98.6911,97.4134,100.3258,100.6855,99.9505,7254.456364497771,5757.365593954657,0.0,0.0,10.7
Selangor,2017-01-01,15839.92857142857,9514.17857142857,6325.75,1025434.0,499372.0,526062.0,751914.0,383040.0,368874.0,96.03,96.6,95.48,100.1307,100.2461,100.0173,97.3706,98.2312,96.4688,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Selangor,2018-01-01,28442.0,17518.0,10924.0,1036776.0,505420.0,531356.0,707862.0,357330.0,350532.0,95.56,96.51,94.68,102.0542,101.8743,102.2325,97.6012,98.9636,96.2022,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Selangor,2019-01-01,27388.0,16724.0,10664.0,1058062.0,515474.0,542588.0,708324.0,356062.0,352262.0,96.1,96.9,95.4,97.6,99.1,96.1,95.8,96.9,94.6,9560.888888888889,7354.222222222223,1.2,0.2,15.3
Selangor,2020-01-01,15036.0,8602.0,6434.0,1070972.0,522114.0,548858.0,712048.0,357162.0,354886.0,97.3,98.1,96.4,97.1,98.2,95.9,93.0,93.5,92.4,7254.456364497771,5757.365593954657,1.7,0.3,13.9
Selangor,2021-01-01,14602.0,8548.0,6054.0,1090172.0,531324.0,558848.0,727408.0,362578.0,364830.0,104.5,105.4,103.6,101.8,101.5,102.1,95.6,96.1,95.0,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Selangor,2022-01-01,14958.0,8616.0,6342.0,1097244.0,534722.0,562522.0,735328.0,365084.0,370244.0,98.6,99.1,98.2,98.1,98.4,97.7,99.3,99.6,98.9,11087.444444444443,9196.333333333334,1.5,0.0,14.2
Terengganu,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,100.43,101.43,99.51,96.8437,97.9727,95.7021,99.5952,99.4789,99.7217,7254.456364497771,5757.365593954657,0.4,0.0,10.2
Terengganu,2017-01-01,15839.92857142857,9514.17857142857,6325.75,249700.0,122340.0,127360.0,206762.0,106280.0,100482.0,100.06,101.45,98.7,98.9429,99.5636,98.3104,98.0835,98.8052,97.3145,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Terengganu,2018-01-01,13390.0,8550.0,4840.0,252930.0,123554.0,129376.0,187342.0,95294.0,92048.0,99.87,101.81,97.99,100.4034,100.3665,100.4405,98.1639,98.4996,97.8014,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Terengganu,2019-01-01,12840.0,8426.0,4414.0,257102.0,125376.0,131726.0,184708.0,94280.0,90428.0,100.7,101.5,100.0,101.7,101.7,101.7,99.9,100.8,99.0,6558.25,5395.75,6.1,0.3,8.2
Terengganu,2020-01-01,6890.0,4354.0,2536.0,260416.0,127108.0,133308.0,183940.0,93486.0,90454.0,100.4,101.9,99.0,99.5,99.9,99.2,96.1,97.3,94.9,7254.456364497771,5757.365593954657,12.0,1.1,10.7
Terengganu,2021-01-01,6268.0,4026.0,2242.0,265678.0,129844.0,135834.0,189956.0,95620.0,94336.0,103.7,104.4,102.9,99.0,99.0,99.1,100.5,100.0,100.9,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
Terengganu,2022-01-01,6810.0,3882.0,2928.0,269114.0,131078.0,138036.0,194338.0,97704.0,96634.0,103.8,104.6,103.1,99.7,99.9,99.6,99.0,99.1,98.8,6983.5,5723.5,6.2,0.2,6.9
W.P. Kuala Lumpur,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,91.93,93.13,90.8,98.0524,99.2771,96.8634,100.5322,101.1574,99.9075,7254.456364497771,5757.365593954657,0.0,0.0,13.8
W.P. Kuala Lumpur,2017-01-01,15839.92857142857,9514.17857142857,6325.75,253458.0,124628.0,128830.0,185296.0,92708.0,92588.0,90.37,91.38,89.4,96.7909,97.4007,96.1827,92.2802,92.2339,92.3269,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Kuala Lumpur,2018-01-01,6212.0,3752.0,2460.0,255266.0,125398.0,129868.0,172530.0,85630.0,86900.0,91.18,92.1,90.31,94.0251,95.4319,92.6775,91.9811,93.8397,90.1594,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Kuala Lumpur,2019-01-01,6202.0,3762.0,2440.0,260552.0,128060.0,132492.0,169522.0,84200.0,85322.0,91.6,92.5,90.7,97.6,98.0,97.2,99.4,100.6,98.1,13257.0,10549.0,0.2,0.0,10.6
W.P. Kuala Lumpur,2020-01-01,3728.0,2132.0,1596.0,262930.0,129444.0,133486.0,169880.0,84064.0,85816.0,92.4,93.1,91.6,96.5,98.0,94.9,80.8,80.7,80.9,7254.456364497771,5757.365593954657,0.4,0.0,9.1
W.P. Kuala Lumpur,2021-01-01,3196.0,2008.0,1188.0,266496.0,131152.0,135344.0,172018.0,84804.0,87214.0,94.5,96.8,92.4,98.0,98.7,97.2,94.7,94.9,94.5,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Kuala Lumpur,2022-01-01,3474.0,2004.0,1470.0,267062.0,131296.0,135766.0,172394.0,85186.0,87208.0,93.8,94.6,92.9,96.4,96.4,96.5,97.5,98.1,97.0,13325.0,10234.0,1.4,0.0,12.7
W.P. Labuan,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,95.05,97.96,92.4,78.3156,80.4911,76.2581,101.9983,100.1721,103.8596,7254.456364497771,5757.365593954657,0.0,0.0,11.6
W.P. Labuan,2017-01-01,15839.92857142857,9514.17857142857,6325.75,17538.0,8556.0,8982.0,12958.0,6352.0,6606.0,91.31,90.31,92.24,99.43,99.5,99.3631,97.0185,98.7138,95.315,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Labuan,2018-01-01,1226.0,598.0,628.0,18130.0,8868.0,9262.0,11420.0,5492.0,5928.0,94.54,94.99,94.09,89.127,89.0909,89.1603,91.4501,91.0774,91.8197,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Labuan,2019-01-01,1214.0,586.0,628.0,18786.0,9154.0,9632.0,11530.0,5568.0,5962.0,89.8,90.0,89.7,94.1,94.2,94.0,99.9,103.5,96.7,8319.0,6726.0,3.1,0.0,12.9
W.P. Labuan,2020-01-01,606.0,280.0,326.0,19406.0,9428.0,9978.0,11946.0,5762.0,6184.0,94.1,96.8,91.6,103.9,104.7,103.2,95.8,95.3,96.4,7254.456364497771,5757.365593954657,5.2,0.1,11.8
W.P. Labuan,2021-01-01,464.0,298.0,166.0,19728.0,9528.0,10200.0,12634.0,6106.0,6528.0,91.4,93.2,89.5,98.0,98.2,97.8,96.0,95.0,97.0,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Labuan,2022-01-01,562.0,260.0,302.0,19850.0,9546.0,10304.0,13642.0,6716.0,6926.0,92.4,93.9,90.9,102.8,103.2,102.5,99.3,99.5,99.2,8250.0,6904.0,2.5,0.0,7.0
W.P. Putrajaya,2016-01-01,15839.92857142857,9514.17857142857,6325.75,482132.5,235009.79411764705,247122.70588235295,349306.9705882353,174807.08823529413,174499.88235294117,103.48,104.8,102.23,110.3378,111.7188,109.2857,109.4761,110.9515,108.3671,7254.456364497771,5757.365593954657,0.0,0.0,6.8
W.P. Putrajaya,2017-01-01,15839.92857142857,9514.17857142857,6325.75,30194.0,14760.0,15434.0,15574.0,7002.0,8572.0,103.56,103.56,103.56,107.5758,109.7004,105.889,97.0238,95.2872,98.4394,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Putrajaya,2018-01-01,350.0,234.0,116.0,33980.0,16742.0,17238.0,15656.0,6982.0,8674.0,101.26,102.78,99.7,97.7966,98.8447,96.9728,95.034,94.8438,95.1807,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Putrajaya,2019-01-01,516.0,288.0,228.0,37172.0,18298.0,18874.0,16930.0,7654.0,9276.0,99.5,99.5,99.6,103.3,108.6,99.1,103.6,101.2,105.7,12840.0,9983.0,0.4,0.0,12.1
W.P. Putrajaya,2020-01-01,322.0,166.0,156.0,40246.0,19812.0,20434.0,18418.0,8426.0,9992.0,101.4,104.3,98.7,105.7,108.3,103.6,93.5,93.6,93.4,7254.456364497771,5757.365593954657,0.2,0.0,11.2
W.P. Putrajaya,2021-01-01,260.0,132.0,128.0,43180.0,21212.0,21968.0,20668.0,9540.0,11128.0,76.8,80.0,73.9,97.5,97.2,97.8,93.7,94.5,92.9,7254.456364497771,5757.365593954657,5.2562500000000005,0.43281250000000004,12.157812499999999
W.P. Putrajaya,2022-01-01,278.0,168.0,110.0,45006.0,21996.0,23010.0,22872.0,10596.0,12276.0,102.9,104.9,101.1,103.2,105.9,100.9,101.7,99.1,104.0,13473.0,10056.0,0.1,0.0,11.4
